Ranking,Name,Year,Stars (out of 10),Length (min),Gross ($ in Million),Votes
770,A Simple Favor,2018,6.8,117,53.55,133005
272,White Christmas,1954,7.6,120,30,34727
320,A Shot in the Dark,1964,7.5,102,12.37,26316
852,Innerspace,1987,6.8,120,25.89,55134
460,Stan & Ollie,2018,7.2,98,5.47,34015
1421,The Switch,2010,6.1,101,27.76,99280
1425,Shrek the Third,2007,6.1,93,320.71,285172
1828,Garfield: A Tail of Two Kitties,2006,5,82,28.43,39887
396,Submarine,2010,7.3,97,0.47,86694
1374,Major Payne,1995,6.2,95,29.41,31246
910,Saved!,2004,6.7,92,8.94,44768
1450,Airheads,1994,6.1,92,5.37,46882
1523,A Thousand Words,2012,5.9,91,18.44,40949
644,Waitress,2007,7,108,19.07,44099
111,Shrek,2001,7.9,90,267.67,623671
1096,The Parent Trap,1998,6.5,128,66.31,123293
1250,Knight and Day,2010,6.3,109,76.42,182352
342,In the Loop,2009,7.4,106,2.38,55312
410,The Secret Life of Walter Mitty,2013,7.3,114,58.24,297304
153,The King of Comedy,1982,7.8,109,2.5,92388
534,Tangerine,2015,7.1,88,0.7,28083
402,Ant-Man,2015,7.3,117,180.2,585587
291,Secondhand Lions,2003,7.5,109,41.41,53161
887,Heartbreaker,2010,6.7,105,0.5,25570
1665,The Pink Panther 2,2009,5.6,92,35.92,42496
1393,The Spy Who Dumped Me,2018,6.1,117,33.56,70630
951,Smallfoot,2018,6.6,96,83.24,35304
964,The Heat,2013,6.6,117,159.58,164096
145,Ed Wood,1994,7.8,127,5.89,166623
719,Step Brothers,2008,6.9,98,100.47,271796
