Ranking,Name,Year,Stars (out of 10),Length (min),Gross ($ in Million),Votes
740,Meet the Spartans,2008,2.8,87,38.23,102153
296,Creepshow,1982,6.9,120,21.03,43095
649,Outside the Wire,2021,5.4,114,,34493
267,The Monster Squad,1987,7,79,3.77,29210
148,Yahsi Bati - The Ottoman Cowboys,2009,7.4,112,,32855
305,The Imaginarium of Doctor Parnassus,2009,6.8,123,7.69,145126
6,The Green Mile,1999,8.6,189,136.8,1170411
661,Monster Hunter,2020,5.3,103,,34642
641,Star Trek V: The Final Frontier,1989,5.5,107,52.21,56701
454,Apostle,2018,6.3,130,,45286
332,King Arthur: Legend of the Sword,2017,6.7,126,39.18,196088
235,Les visiteurs,1993,7.1,107,0.7,32765
232,What Dreams May Come,1998,7.1,113,55.49,103457
2,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,315.54,1689336
615,Don't be Afraid of the Dark,2010,5.6,99,24.04,47227
563,Abraham Lincoln: Vampire Hunter,2012,5.9,105,37.52,149891
643,Wonder Woman 1984,2020,5.4,151,46.37,198104
225,Angel-A,2005,7.1,91,0.2,32544
678,A Nightmare on Elm Street 5: The Dream Child,1989,5.2,89,22.17,41639
554,Asterix and Obelix vs. Caesar,1999,6,109,1.64,40029
90,Harry Potter and the Goblet of Fire,2005,7.7,157,290.01,558664
461,The Grinch,2018,6.3,85,270.62,57367
611,The Nutcracker and the Four Realms,2018,5.6,99,54.86,30041
519,Mortal Engines,2018,6.1,128,15.95,113084
108,Stardust,2007,7.6,127,38.63,258121
396,Valerian and the City of a Thousand Planets,2017,6.5,136,41.19,165688
646,Drive Angry,2011,5.4,104,10.71,95109
517,Snow White and the Huntsman,2012,6.1,127,155.33,276062
594,Thinner,1996,5.8,93,15.17,28662
252,Maleficent,2014,7,97,241.41,348654
