Ranking,Name,Year,Stars (out of 10),Length (min),Gross ($ in Million),Votes
163,Star Trek IV: The Voyage Home,1986,7.3,119,109.71,80012
349,Home,2015,6.6,94,177.4,93200
630,Maggie,2015,5.6,95,0.19,42425
171,10 Cloverfield Lane,2016,7.2,103,72.08,295568
507,The Machine,2013,6.1,91,,30227
717,Halloween III: Season of the Witch,1982,5,98,14.4,44598
29,The Thing,1982,8.1,109,13.78,377545
185,Face/Off,1997,7.2,138,112.23,353446
265,Pacific Rim,2013,6.9,131,101.8,471134
344,Overlord,2018,6.6,110,21.7,88923
304,Scanners,1981,6.8,103,14.23,49592
654,Green Lantern,2011,5.5,114,116.6,269762
241,Iron Man 2,2010,7,124,312.43,736576
266,Another Earth,2011,6.9,92,1.32,91945
28,Nausicaa of the Valley of the Wind,1984,8.1,117,0.5,154558
372,Weird Science,1985,6.6,94,23.83,81278
265,Pacific Rim,2013,6.9,131,101.8,471134
349,Home,2015,6.6,94,177.4,93202
8,Back to the Future,1985,8.5,116,210.61,1078580
166,The Lobster,2015,7.2,119,8.7,225328
429,Star Trek: Insurrection,1998,6.4,103,70.12,71479
405,Lucy,2014,6.4,89,126.66,454192
309,I Am Mother ,2019,6.7,113,,78909
658,Dreamcatcher,2003,5.5,134,33.72,89428
34,Blade Runner 2049,2017,8,164,92.05,476626
723,Pulse,2006,4.8,90,20.26,28198
51,X Men: Days of Future Past,2014,7.9,132,233.92,667755
636,Fantastic 4: Rise of the Silver Surfer,2007,5.6,92,131.92,252928
764,Battlefield earth,2000,2.5,118,21.47,76506
281,Repo Man,1984,6.9,92,3.57,34632
